Index  Temperature[C]  Zr[at%]         Nb[at%]         Mo[at%]         Cr[at%]         Al[at%]         Ti[at%]         Ta[at%]         W[at%]          Time[h]         MassChange[mg.cm2](Real) MassChange[mg.cm2](Predicted)
174    1200.00000      0.00000         33.60000        0.00000         0.00000         0.00000         32.30000        34.10000        0.00000         17.48949        190.36522              190.90578             
175    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         50.00000        10.53222               11.30925              
176    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         40.49049        72.02312               73.08771              
177    1200.00000      0.00000         33.70000        0.00000         32.40000        0.00000         33.90000        0.00000         0.00000         2.49850         7.19659                7.32912               
178    1200.00000      0.00000         0.00000         21.25000        21.25000        21.25000        21.25000        15.00000        0.00000         1.49173         0.71401                0.51494               
179    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         10.94313        1.99326                1.59363               
180    1200.00000      0.00000         0.00000         21.40000        21.30000        21.40000        21.10000        14.80000        0.00000         15.00000        2.82365                2.72727               
181    1200.00000      0.00000         0.00000         23.50000        23.80000        23.90000        23.70000        5.10000         0.00000         20.00000        3.06135                3.13636               
182    1200.00000      0.00000         0.00000         21.25000        21.25000        21.25000        21.25000        15.00000        0.00000         18.49943        3.11762                3.06304               
183    1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        10.00000        22.50000        0.00000         18.49286        5.21493                5.60206               
184    1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         24.50450        6.10348                6.22371               
185    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         8.05150         2.92491                3.43574               
186    1000.00000      0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         0.00000         5.48382         0.40579                0.69263               
187    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         30.00000        5.39222                5.33333               
188    1000.00000      0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         0.00000         4.50200         0.24381                0.51111               
189    1200.00000      0.00000         0.00000         0.00000         11.90000        0.00000         37.20000        50.90000        0.00000         11.49550        66.50003               66.47152              
190    1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         45.50150        8.09410                8.21101               
191    1200.00000      0.00000         0.00000         25.30000        24.80000        25.00000        0.00000         24.90000        0.00000         0.00000         -0.57918               0.00000               
192    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         20.95172        0.17380                0.42508               
